18
978-1-60309-056-8 5436783 noborrower 0 0 0
0975-5-56-558410-0 2398479 noborrower 0 0 0
9004-315-323735-90-0 213049875 noborrower 0 0 0
972-4-88301-046-6 1235425 noborrower 0 0 0
972-4-88301-046-6 1235425 noborrower 0 0 0
428-1-30730-046-1 6754235 noborrower 0 0 0
428-1-30730-046-1 9852874 noborrower 0 0 0
232-1-60309-056-8 2780943 noborrower 0 0 0
0975-5-56-35410-0 3875024 noborrower 0 0 0
0975-5-56-35410-0 1239897 noborrower 0 0 0
9004-5-32303-90-0 9821345 noborrower 0 0 0
972-4-27001-046-6 5170587 noborrower 0 0 0
222-1-30730-046-1 5093825 noborrower 0 0 0
232-1-60729-056-8 2589046 noborrower 0 0 0
097-5-56-36410-0 12374615 noborrower 0 0 0
904-5-32974-90-0 12365704 noborrower 0 0 0
422-4-27001-046-6 9874123 noborrower 0 0 0
222-1-32330-046-1 1276853 noborrower 0 0 0
